resume_text,job_description,label
"Experienced professional with 10 years of experience. Skilled in networking, monitoring, linux, terraform. Worked on multiple projects involving docker, aws. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in networking, linux, kubernetes, ci/cd. The candidate should have experience with jenkins, terraform and a background in devops engineer.",1
"Experienced professional with 1 years of experience. Skilled in seo, copywriting, email marketing, content strategy. Worked on multiple projects involving copywriting, branding. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in google ads, seo, email marketing, copywriting. The candidate should have experience with google ads, copywriting and a background in digital marketer.",1
"Experienced professional with 5 years of experience. Skilled in monitoring, ci/cd, terraform, kubernetes. Worked on multiple projects involving linux, monitoring. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in javascript, responsive design, redux, css. The candidate should have experience with ui/ux, typescript and a background in frontend developer.",0
"Experienced professional with 6 years of experience. Skilled in terraform, monitoring, jenkins, linux. Worked on multiple projects involving redux, typescript. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in typescript, javascript, css, responsive design. The candidate should have experience with html, javascript and a background in frontend developer.",0
"Experienced professional with 2 years of experience. Skilled in redux, responsive design, typescript, webpack. Worked on multiple projects involving html, typescript. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in seo, google ads, email marketing, social media. The candidate should have experience with seo, copywriting and a background in digital marketer.",0
"Experienced professional with 9 years of experience. Skilled in jenkins, docker, terraform, kubernetes. Worked on multiple projects involving docker, terraform. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in machine learning, data visualization, scikit-learn, pandas. The candidate should have experience with numpy, statistics and a background in data scientist.",0
"Experienced professional with 9 years of experience. Skilled in redux, css, react, javascript. Worked on multiple projects involving css, typescript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in redux, css, javascript, html. The candidate should have experience with javascript, responsive design and a background in frontend developer.",1
"Experienced professional with 6 years of experience. Skilled in seo, content strategy, email marketing, copywriting. Worked on multiple projects involving google ads, branding. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in aws, jenkins, docker, kubernetes. The candidate should have experience with monitoring, kubernetes and a background in devops engineer.",0
"Experienced professional with 8 years of experience. Skilled in webpack, javascript, typescript, ui/ux. Worked on multiple projects involving html, react. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, responsive design, typescript, react. The candidate should have experience with responsive design, typescript and a background in frontend developer.",1
"Experienced professional with 6 years of experience. Skilled in react, redux, ui/ux, css. Worked on multiple projects involving react, ui/ux. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in react, javascript, html, responsive design. The candidate should have experience with redux, typescript and a background in frontend developer.",1
"Experienced professional with 4 years of experience. Skilled in numpy, pandas, data visualization, sql. Worked on multiple projects involving terraform, html. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in deep learning, pandas, data visualization, numpy. The candidate should have experience with data visualization, machine learning and a background in data scientist.",1
"Experienced professional with 4 years of experience. Skilled in docker, aws, kubernetes, networking. Worked on multiple projects involving kubernetes, networking. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, jenkins, aws, monitoring. The candidate should have experience with monitoring, docker and a background in devops engineer.",1
"Experienced professional with 5 years of experience. Skilled in monitoring, jenkins, ci/cd, linux. Worked on multiple projects involving ci/cd, aws. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in kubernetes, aws, networking, docker. The candidate should have experience with ci/cd, terraform and a background in devops engineer.",1
"Experienced professional with 9 years of experience. Skilled in statistics, numpy, deep learning, pandas. Worked on multiple projects involving machine learning, pandas. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in machine learning, scikit-learn, pandas, numpy. The candidate should have experience with statistics, pandas and a background in data scientist.",1
"Experienced professional with 8 years of experience. Skilled in numpy, pandas, scikit-learn, statistics. Worked on multiple projects involving deep learning, statistics. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in content strategy, email marketing, analytics, seo. The candidate should have experience with google ads, email marketing and a background in digital marketer.",0
"Experienced professional with 8 years of experience. Skilled in monitoring, docker, linux, kubernetes. Worked on multiple projects involving networking, linux. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in statistics, scikit-learn, machine learning, numpy. The candidate should have experience with numpy, scikit-learn and a background in data scientist.",0
"Experienced professional with 7 years of experience. Skilled in ui/ux, react, css, redux. Worked on multiple projects involving responsive design, redux. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in react, typescript, redux, html. The candidate should have experience with javascript, css and a background in frontend developer.",1
"Experienced professional with 2 years of experience. Skilled in html, webpack, javascript, typescript. Worked on multiple projects involving css, react. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in sql, data visualization, numpy, machine learning. The candidate should have experience with statistics, scikit-learn and a background in data scientist.",0
"Experienced professional with 9 years of experience. Skilled in email marketing, analytics, copywriting, google ads. Worked on multiple projects involving content strategy, analytics. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in aws, jenkins, linux, ci/cd. The candidate should have experience with kubernetes, docker and a background in devops engineer.",0
"Experienced professional with 9 years of experience. Skilled in google ads, analytics, copywriting, branding. Worked on multiple projects involving branding, seo. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in content strategy, branding, analytics, social media. The candidate should have experience with analytics, seo and a background in digital marketer.",1
"Experienced professional with 5 years of experience. Skilled in social media, branding, google ads, analytics. Worked on multiple projects involving content strategy, social media. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in analytics, seo, copywriting, branding. The candidate should have experience with copywriting, content strategy and a background in digital marketer.",1
"Experienced professional with 8 years of experience. Skilled in jenkins, aws, linux, kubernetes. Worked on multiple projects involving docker, terraform. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in machine learning, pandas, statistics, data visualization. The candidate should have experience with machine learning, pandas and a background in data scientist.",0
"Experienced professional with 7 years of experience. Skilled in analytics, social media, email marketing, copywriting. Worked on multiple projects involving statistics, machine learning. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in machine learning, deep learning, python, data visualization. The candidate should have experience with data visualization, machine learning and a background in data scientist.",0
"Experienced professional with 1 years of experience. Skilled in branding, email marketing, google ads, copywriting. Worked on multiple projects involving email marketing, copywriting. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in copywriting, email marketing, branding, content strategy. The candidate should have experience with seo, email marketing and a background in digital marketer.",1
"Experienced professional with 7 years of experience. Skilled in monitoring, aws, linux, jenkins. Worked on multiple projects involving machine learning, analytics. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in kubernetes, docker, monitoring, jenkins. The candidate should have experience with terraform, monitoring and a background in devops engineer.",1
"Experienced professional with 6 years of experience. Skilled in data visualization, deep learning, scikit-learn, sql. Worked on multiple projects involving data visualization, statistics. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in pandas, sql, machine learning, scikit-learn. The candidate should have experience with pandas, machine learning and a background in data scientist.",1
"Experienced professional with 2 years of experience. Skilled in html, redux, responsive design, javascript. Worked on multiple projects involving redux, html. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in javascript, html, typescript, responsive design. The candidate should have experience with css, react and a background in frontend developer.",1
"Experienced professional with 5 years of experience. Skilled in networking, aws, linux, ci/cd. Worked on multiple projects involving terraform, networking. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in scikit-learn, deep learning, data visualization, python. The candidate should have experience with deep learning, numpy and a background in data scientist.",0
"Experienced professional with 3 years of experience. Skilled in terraform, docker, jenkins, linux. Worked on multiple projects involving linux, kubernetes. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in machine learning, data visualization, statistics, scikit-learn. The candidate should have experience with data visualization, statistics and a background in data scientist.",0
"Experienced professional with 6 years of experience. Skilled in networking, jenkins, aws, ci/cd. Worked on multiple projects involving kubernetes, monitoring. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in jenkins, terraform, ci/cd, monitoring. The candidate should have experience with terraform, monitoring and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in statistics, data visualization, deep learning, machine learning. Worked on multiple projects involving deep learning, sql. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in statistics, python, scikit-learn, numpy. The candidate should have experience with data visualization, machine learning and a background in data scientist.",1
"Experienced professional with 10 years of experience. Skilled in monitoring, aws, networking, linux. Worked on multiple projects involving linux, jenkins. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in google ads, copywriting, analytics, seo. The candidate should have experience with social media, email marketing and a background in digital marketer.",0
